DATE,WPU08
1964-03-01,33.6
1964-04-01,33.9
1964-05-01,33.9
1964-06-01,33.8
1964-07-01,33.7
1964-08-01,33.6
1964-09-01,33.5
1964-10-01,33.4
1964-11-01,33.2
1964-12-01,33.1
1965-01-01,33.6
1965-02-01,33.6
1965-03-01,33.5
1965-04-01,33.5
1965-05-01,33.5
1965-06-01,33.4
1965-07-01,33.5
1965-08-01,33.9
1965-09-01,34.0
1965-10-01,33.9
1965-11-01,33.9
1965-12-01,34.0
1966-01-01,34.2
1966-02-01,34.6
1966-03-01,35.2
1966-04-01,36.1
1966-05-01,36.5
1966-06-01,35.9
1966-07-01,35.5
1966-08-01,35.4
1966-09-01,35.3
1966-10-01,34.9
1966-11-01,34.3
1966-12-01,34.1
1967-01-01,34.2
1967-02-01,34.6
1967-03-01,34.5
1967-04-01,34.7
1967-05-01,34.7
1967-06-01,34.9
1967-07-01,35.1
1967-08-01,35.4
1967-09-01,36.2
1967-10-01,35.7
1967-11-01,35.5
1967-12-01,35.9
1968-01-01,36.2
1968-02-01,37.2
1968-03-01,38.0
1968-04-01,38.6
1968-05-01,39.0
1968-06-01,39.1
1968-07-01,39.7
1968-08-01,40.1
1968-09-01,40.9
1968-10-01,41.7
1968-11-01,42.3
1968-12-01,44.5
1969-01-01,45.9
1969-02-01,48.2
1969-03-01,49.8
1969-04-01,47.8
1969-05-01,45.9
1969-06-01,43.3
1969-07-01,41.8
1969-08-01,41.3
1969-09-01,41.1
1969-10-01,40.9
1969-11-01,41.3
1969-12-01,40.8
1970-01-01,40.5
1970-02-01,40.0
1970-03-01,39.7
1970-04-01,40.0
1970-05-01,40.3
1970-06-01,40.0
1970-07-01,39.9
1970-08-01,40.1
1970-09-01,40.1
1970-10-01,39.7
1970-11-01,39.3
1970-12-01,39.0
1971-01-01,39.4
1971-02-01,41.2
1971-03-01,43.4
1971-04-01,43.9
1971-05-01,44.0
1971-06-01,44.4
1971-07-01,46.0
1971-08-01,47.5
1971-09-01,47.3
1971-10-01,46.4
1971-11-01,46.2
1971-12-01,46.7
1972-01-01,47.4
1972-02-01,48.4
1972-03-01,49.0
1972-04-01,49.6
1972-05-01,50.1
1972-06-01,50.6
1972-07-01,51.3
1972-08-01,52.0
1972-09-01,52.1
1972-10-01,52.4
1972-11-01,52.5
1972-12-01,52.6
1973-01-01,53.0
1973-02-01,56.5
1973-03-01,60.8
1973-04-01,63.9
1973-05-01,65.6
1973-06-01,64.3
1973-07-01,62.4
1973-08-01,62.8
1973-09-01,63.9
1973-10-01,63.3
1973-11-01,64.9
1973-12-01,65.4
1974-01-01,64.5
1974-02-01,64.6
1974-03-01,67.2
1974-04-01,70.3
1974-05-01,69.5
1974-06-01,67.5
1974-07-01,66.2
1974-08-01,64.5
1974-09-01,63.4
1974-10-01,59.5
1974-11-01,58.2
1974-12-01,58.1
1975-01-01,57.9
1975-02-01,59.5
1975-03-01,59.6
1975-04-01,61.4
1975-05-01,64.3
1975-06-01,63.6
1975-07-01,63.1
1975-08-01,63.1
1975-09-01,63.2
1975-10-01,62.9
1975-11-01,62.6
1975-12-01,64.3
1976-01-01,67.0
1976-02-01,68.9
1976-03-01,71.1
1976-04-01,71.4
1976-05-01,71.1
1976-06-01,70.2
1976-07-01,71.5
1976-08-01,72.9
1976-09-01,74.7
1976-10-01,75.0
1976-11-01,75.3
1976-12-01,77.3
1977-01-01,78.2
1977-02-01,78.8
1977-03-01,80.4
1977-04-01,80.7
1977-05-01,80.6
1977-06-01,80.3
1977-07-01,82.7
1977-08-01,85.3
1977-09-01,88.8
1977-10-01,87.0
1977-11-01,85.5
1977-12-01,87.5
1978-01-01,90.0
1978-02-01,92.6
1978-03-01,93.5
1978-04-01,94.7
1978-05-01,96.0
1978-06-01,97.8
1978-07-01,97.4
1978-08-01,98.9
1978-09-01,99.3
1978-10-01,99.8
1978-11-01,101.9
1978-12-01,101.4
1979-01-01,101.9
1979-02-01,103.2
1979-03-01,105.5
1979-04-01,107.1
1979-05-01,106.4
1979-06-01,105.3
1979-07-01,105.4
1979-08-01,107.0
1979-09-01,108.8
1979-10-01,108.5
1979-11-01,105.0
1979-12-01,101.9
1980-01-01,101.9
1980-02-01,103.5
1980-03-01,103.6
1980-04-01,96.8
1980-05-01,95.5
1980-06-01,98.3
1980-07-01,101.6
1980-08-01,104.0
1980-09-01,102.6
1980-10-01,101.5
1980-11-01,103.0
1980-12-01,105.2
1981-01-01,104.1
1981-02-01,103.5
1981-03-01,103.4
1981-04-01,105.1
1981-05-01,104.8
1981-06-01,104.7
1981-07-01,104.1
1981-08-01,103.4
1981-09-01,101.6
1981-10-01,99.8
1981-11-01,99.1
1981-12-01,100.2
1982-01-01,100.3
1982-02-01,100.2
1982-03-01,100.2
1982-04-01,100.6
1982-05-01,99.9
1982-06-01,101.5
1982-07-01,101.4
1982-08-01,99.8
1982-09-01,99.4
1982-10-01,98.1
1982-11-01,98.3
1982-12-01,100.3
1983-01-01,103.0
1983-02-01,106.4
1983-03-01,107.4
1983-04-01,107.9
1983-05-01,108.2
1983-06-01,110.6
1983-07-01,110.5
1983-08-01,110.3
1983-09-01,107.3
1983-10-01,107.3
1983-11-01,107.1
1983-12-01,108.4
1984-01-01,108.6
1984-02-01,110.9
1984-03-01,111.3
1984-04-01,110.7
1984-05-01,108.3
1984-06-01,107.9
1984-07-01,106.9
1984-08-01,107.0
1984-09-01,106.5
1984-10-01,105.5
1984-11-01,105.7
1984-12-01,106.4
1985-01-01,106.9
1985-02-01,106.5
1985-03-01,106.4
1985-04-01,105.9
1985-05-01,107.7
1985-06-01,110.0
1985-07-01,108.9
1985-08-01,107.3
1985-09-01,105.5
1985-10-01,105.2
1985-11-01,104.3
1985-12-01,104.7
1986-01-01,105.0
1986-02-01,104.3
1986-03-01,105.8
1986-04-01,108.4
1986-05-01,108.2
1986-06-01,107.5
1986-07-01,107.8
1986-08-01,107.9
1986-09-01,108.4
1986-10-01,107.9
1986-11-01,108.0
1986-12-01,107.8
1987-01-01,108.1
1987-02-01,109.4
1987-03-01,110.6
1987-04-01,110.7
1987-05-01,110.7
1987-06-01,111.4
1987-07-01,112.4
1987-08-01,113.7
1987-09-01,116.2
1987-10-01,116.1
1987-11-01,116.9
1987-12-01,117.1
1988-01-01,117.8
1988-02-01,118.4
1988-03-01,118.9
1988-04-01,119.2
1988-05-01,119.1
1988-06-01,119.3
1988-07-01,120.0
1988-08-01,118.8
1988-09-01,118.9
1988-10-01,118.7
1988-11-01,118.8
1988-12-01,119.0
1989-01-01,120.1
1989-02-01,122.0
1989-03-01,123.2
1989-04-01,125.2
1989-05-01,126.5
1989-06-01,127.4
1989-07-01,128.9
1989-08-01,129.0
1989-09-01,129.0
1989-10-01,130.9
1989-11-01,130.0
1989-12-01,128.5
1990-01-01,129.0
1990-02-01,129.7
1990-03-01,130.5
1990-04-01,132.4
1990-05-01,132.0
1990-06-01,130.7
1990-07-01,131.3
1990-08-01,130.2
1990-09-01,129.3
1990-10-01,127.5
