DATE,NFCI
1984-10-01,0.22250000000000000000
1984-11-01,0.00400000000000000000
1984-12-01,-0.18750000000000000000
1985-01-01,-0.35000000000000000000
1985-02-01,-0.37500000000000000000
1985-03-01,-0.29600000000000000000
1985-04-01,-0.30500000000000000000
1985-05-01,-0.42400000000000000000
1985-06-01,-0.47250000000000000000
1985-07-01,-0.40750000000000000000
1985-08-01,-0.26800000000000000000
1985-09-01,-0.17500000000000000000
1985-10-01,-0.24750000000000000000
1985-11-01,-0.35000000000000000000
1985-12-01,-0.31750000000000000000
1986-01-01,-0.31200000000000000000
1986-02-01,-0.35250000000000000000
1986-03-01,-0.38000000000000000000
1986-04-01,-0.48250000000000000000
1986-05-01,-0.59000000000000000000
1986-06-01,-0.53750000000000000000
1986-07-01,-0.52250000000000000000
1986-08-01,-0.63000000000000000000
1986-09-01,-0.63000000000000000000
1986-10-01,-0.58000000000000000000
1986-11-01,-0.58500000000000000000
1986-12-01,-0.54750000000000000000
1987-01-01,-0.50600000000000000000
1987-02-01,-0.49500000000000000000
1987-03-01,-0.33500000000000000000
1987-04-01,0.10500000000000000000
1987-05-01,0.54000000000000000000
1987-06-01,0.50000000000000000000
1987-07-01,0.18800000000000000000
1987-08-01,0.00250000000000000000
1987-09-01,0.29000000000000000000
1987-10-01,0.89400000000000000000
1987-11-01,1.10250000000000000000
1987-12-01,0.92500000000000000000
1988-01-01,0.54200000000000000000
1988-02-01,0.20250000000000000000
1988-03-01,0.11250000000000000000
1988-04-01,0.21400000000000000000
1988-05-01,0.25250000000000000000
1988-06-01,0.24500000000000000000
1988-07-01,0.34000000000000000000
1988-08-01,0.39500000000000000000
1988-09-01,0.30600000000000000000
1988-10-01,0.21750000000000000000
1988-11-01,0.16750000000000000000
1988-12-01,0.16000000000000000000
1989-01-01,0.17750000000000000000
1989-02-01,0.31750000000000000000
1989-03-01,0.64200000000000000000
1989-04-01,0.71250000000000000000
1989-05-01,0.45500000000000000000
1989-06-01,0.28600000000000000000
1989-07-01,0.24000000000000000000
1989-08-01,0.20750000000000000000
1989-09-01,0.33200000000000000000
1989-10-01,0.35750000000000000000
1989-11-01,0.17250000000000000000
1989-12-01,0.03800000000000000000
1990-01-01,0.06500000000000000000
1990-02-01,0.07000000000000000000
1990-03-01,0.04800000000000000000
1990-04-01,0.09000000000000000000
1990-05-01,0.02500000000000000000
1990-06-01,-0.14600000000000000000
1990-07-01,-0.14500000000000000000
1990-08-01,0.04200000000000000000
1990-09-01,0.27000000000000000000
1990-10-01,0.40750000000000000000
1990-11-01,0.41600000000000000000
1990-12-01,0.47250000000000000000
1991-01-01,0.46000000000000000000
1991-02-01,0.19250000000000000000
1991-03-01,-0.07600000000000000000
1991-04-01,-0.20750000000000000000
1991-05-01,-0.24000000000000000000
1991-06-01,-0.23000000000000000000
1991-07-01,-0.34500000000000000000
1991-08-01,-0.51200000000000000000
1991-09-01,-0.56000000000000000000
1991-10-01,-0.58000000000000000000
1991-11-01,-0.62000000000000000000
1991-12-01,-0.65500000000000000000
1992-01-01,-0.67000000000000000000
1992-02-01,-0.67000000000000000000
1992-03-01,-0.66500000000000000000
1992-04-01,-0.72000000000000000000
1992-05-01,-0.82600000000000000000
1992-06-01,-0.89500000000000000000
1992-07-01,-0.93400000000000000000
1992-08-01,-0.92000000000000000000
1992-09-01,-0.85000000000000000000
1992-10-01,-0.70800000000000000000
1992-11-01,-0.68500000000000000000
1992-12-01,-0.82000000000000000000
1993-01-01,-0.93800000000000000000
1993-02-01,-0.96000000000000000000
1993-03-01,-0.97250000000000000000
1993-04-01,-1.00200000000000000000
1993-05-01,-0.99500000000000000000
1993-06-01,-1.01250000000000000000
1993-07-01,-1.08800000000000000000
1993-08-01,-1.10750000000000000000
1993-09-01,-1.08500000000000000000
1993-10-01,-1.03200000000000000000
1993-11-01,-0.96500000000000000000
1993-12-01,-0.99400000000000000000
1994-01-01,-1.04000000000000000000
1994-02-01,-0.98000000000000000000
1994-03-01,-0.84250000000000000000
1994-04-01,-0.74400000000000000000
1994-05-01,-0.74250000000000000000
1994-06-01,-0.74750000000000000000
1994-07-01,-0.74800000000000000000
1994-08-01,-0.81000000000000000000
1994-09-01,-0.75600000000000000000
1994-10-01,-0.62750000000000000000
1994-11-01,-0.55250000000000000000
1994-12-01,-0.42800000000000000000
1995-01-01,-0.45750000000000000000
1995-02-01,-0.59500000000000000000
1995-03-01,-0.65000000000000000000
1995-04-01,-0.66750000000000000000
1995-05-01,-0.73250000000000000000
1995-06-01,-0.72600000000000000000
1995-07-01,-0.70500000000000000000
1995-08-01,-0.73250000000000000000
1995-09-01,-0.73600000000000000000
1995-10-01,-0.72750000000000000000
1995-11-01,-0.77000000000000000000
1995-12-01,-0.77800000000000000000
1996-01-01,-0.79250000000000000000
1996-02-01,-0.85000000000000000000
1996-03-01,-0.78800000000000000000
1996-04-01,-0.71000000000000000000
1996-05-01,-0.73200000000000000000
1996-06-01,-0.73250000000000000000
1996-07-01,-0.72250000000000000000
1996-08-01,-0.76200000000000000000
1996-09-01,-0.75250000000000000000
1996-10-01,-0.76500000000000000000
1996-11-01,-0.80400000000000000000
1996-12-01,-0.74000000000000000000
1997-01-01,-0.69800000000000000000
1997-02-01,-0.74250000000000000000
1997-03-01,-0.72500000000000000000
1997-04-01,-0.66000000000000000000
1997-05-01,-0.64000000000000000000
1997-06-01,-0.64250000000000000000
1997-07-01,-0.66000000000000000000
1997-08-01,-0.66400000000000000000
1997-09-01,-0.63500000000000000000
1997-10-01,-0.56000000000000000000
1997-11-01,-0.47750000000000000000
1997-12-01,-0.49750000000000000000
1998-01-01,-0.58000000000000000000
1998-02-01,-0.65000000000000000000
1998-03-01,-0.65000000000000000000
1998-04-01,-0.62250000000000000000
1998-05-01,-0.59400000000000000000
1998-06-01,-0.57250000000000000000
1998-07-01,-0.55400000000000000000
1998-08-01,-0.40000000000000000000
1998-09-01,-0.15250000000000000000
1998-10-01,0.00000000000000000000
1998-11-01,-0.09250000000000000000
1998-12-01,-0.17250000000000000000
1999-01-01,-0.25600000000000000000
1999-02-01,-0.34500000000000000000
1999-03-01,-0.40500000000000000000
1999-04-01,-0.43000000000000000000
1999-05-01,-0.42500000000000000000
1999-06-01,-0.36250000000000000000
1999-07-01,-0.26600000000000000000
1999-08-01,-0.16750000000000000000
1999-09-01,-0.12250000000000000000
1999-10-01,-0.08800000000000000000
1999-11-01,-0.15750000000000000000
1999-12-01,-0.16600000000000000000
2000-01-01,-0.19500000000000000000
2000-02-01,-0.20000000000000000000
2000-03-01,-0.12600000000000000000
2000-04-01,-0.04250000000000000000
2000-05-01,0.01750000000000000000
2000-06-01,0.03600000000000000000
2000-07-01,-0.06000000000000000000
2000-08-01,-0.16750000000000000000
2000-09-01,-0.19400000000000000000
2000-10-01,-0.16750000000000000000
2000-11-01,-0.13000000000000000000
2000-12-01,-0.06400000000000000000
2001-01-01,-0.17500000000000000000
2001-02-01,-0.27750000000000000000
2001-03-01,-0.26200000000000000000
2001-04-01,-0.29250000000000000000
2001-05-01,-0.39500000000000000000
2001-06-01,-0.44400000000000000000
